Time,Protocol,RNTI,Info
14.863261,MAC-LTE,506,"UL-SCH: (SFN=277 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
15.346812,MAC-LTE,212,"UL-SCH: (SFN=141 , SF=1) UEId=0   (Long BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
15.852255,MAC-LTE,500,"UL-SCH: (SFN=753 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
16.778708,MAC-LTE,215,"UL-SCH: (SFN=918 , SF=7) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
16.919195,MAC-LTE,203,"UL-SCH: (SFN=754 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:64 bytes) (Padding:remainder) "
17.118977,MAC-LTE,500,"UL-SCH: (SFN=669 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:82 bytes) (Padding:remainder) "
17.497908,MAC-LTE,212,"UL-SCH: (SFN=1016, SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:77 bytes) (Padding:remainder) "
17.533502,MAC-LTE,503,"UL-SCH: (SFN=927 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
17.780108,MAC-LTE,215,"UL-SCH: (SFN=694 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
17.864387,MAC-LTE,200,"UL-SCH: (SFN=688 , SF=6) UEId=0   (Short BSR) (3:140 bytes) (Padding:remainder) "
17.962503,MAC-LTE,450,"UL-SCH: (SFN=637 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:72 bytes) (Padding:remainder) "
18.008548,MAC-LTE,215,"UL-SCH: (SFN=760 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
18.038631,MAC-LTE,203,"UL-SCH: (SFN=275 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
18.53318,MAC-LTE,200,"UL-SCH: (SFN=692 , SF=2) UEId=0   (Short BSR) (3:96 bytes) "
18.623615,MAC-LTE,503,"UL-SCH: (SFN=567 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:96 bytes) (Padding:remainder) "
19.354133,MAC-LTE,203,"UL-SCH: (SFN=146 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
19.399605,MAC-LTE,200,"UL-SCH: (SFN=376 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:165 bytes) (Padding:remainder) "
19.453486,LTE RRC UL_CCCH,503,RRCConnectionReestablishmentRequest
19.64101,MAC-LTE,215,"UL-SCH: (SFN=320 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:165 bytes) (Padding:remainder) "
19.886946,MAC-LTE,506,"UL-SCH: (SFN=172 , SF=1) UEId=0   (Short BSR) (3:remainder) (Padding:remainder) "
20.067493,MAC-LTE,203,"UL-SCH: (SFN=375 , SF=3) UEId=0   (Short BSR) (3:69 bytes) (Padding:remainder) "
20.070986,MAC-LTE,500,"UL-SCH: (SFN=584 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
20.097664,MAC-LTE,450,"UL-SCH: (SFN=639 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
20.424346,MAC-LTE,506,"UL-SCH: (SFN=7   , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
20.610041,MAC-LTE,215,"UL-SCH: (SFN=816 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
20.832484,MAC-LTE,200,"UL-SCH: (SFN=263 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:211 bytes) (Padding:remainder) "
21.143093,MAC-LTE,100,"UL-SCH: (SFN=786 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
21.404869,MAC-LTE,215,"UL-SCH: (SFN=1013, SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
21.479947,MAC-LTE,506,"UL-SCH: (SFN=743 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
21.607652,MAC-LTE,400,"UL-SCH: (SFN=233 , SF=2) UEId=0   (Short BSR) (3:66 bytes) (Padding:remainder) "
21.742033,MAC-LTE,400,"UL-SCH: (SFN=289 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
21.770408,RLC-LTE,209, [UL] [AM] SRB:1  [CONTROL]  ACK_SN=1   
21.837438,MAC-LTE,200,"UL-SCH: (SFN=37  , SF=1) UEId=0   (Short BSR) (3:77 bytes) (Padding:remainder) "
21.895538,MAC-LTE,212,"UL-SCH: (SFN=37  , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:165 bytes) "
21.991929,MAC-LTE,215,"UL-SCH: (SFN=502 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
22.069898,RLC-LTE,209, [UL] [AM] SRB:2  [CONTROL]  ACK_SN=2   
22.070713,LTE RRC UL_CCCH,212,RRCConnectionReestablishmentRequest
22.368537,MAC-LTE,212,"UL-SCH: (SFN=223 , SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
22.384673,MAC-LTE,209,"UL-SCH: (SFN=816 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:71 bytes) "
22.625388,MAC-LTE,506,"UL-SCH: (SFN=410 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) "
22.848236,MAC-LTE,503,"UL-SCH: (SFN=590 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:80 bytes) (Padding:remainder) "
22.887861,MAC-LTE,209,"UL-SCH: (SFN=319 , SF=7) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
23.057777,MAC-LTE,506,"UL-SCH: (SFN=454 , SF=7) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
23.427863,MAC-LTE,100,"UL-SCH: (SFN=149 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) "
23.991031,MAC-LTE,203,"UL-SCH: (SFN=915 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) "
24.598041,MAC-LTE,503,"UL-SCH: (SFN=608 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:77 bytes) (Padding:remainder) "
24.893098,MAC-LTE,506,"UL-SCH: (SFN=510 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:143 bytes) (Padding:remainder) "
25.125015,MAC-LTE,206,"UL-SCH: (SFN=793 , SF=1) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
25.204052,MAC-LTE,503,"UL-SCH: (SFN=877 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
25.285556,MAC-LTE,500,"UL-SCH: (SFN=422 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:96 bytes) (Padding:remainder) "
25.438335,MAC-LTE,500,"UL-SCH: (SFN=316 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
25.869282,MAC-LTE,209,"UL-SCH: (SFN=122 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
25.874458,MAC-LTE,506,"UL-SCH: (SFN=446 , SF=2) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
25.914995,MAC-LTE,200,"UL-SCH: (SFN=74  , SF=2) UEId=0   (Long BSR) (3:remainder) (Padding:remainder) "
26.03824,MAC-LTE,209,"UL-SCH: (SFN=220 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
26.198783,MAC-LTE,206,"UL-SCH: (SFN=673 , SF=0) UEId=0   (Long BSR) (3:remainder) (Padding:remainder) "
26.454406,MAC-LTE,400,"UL-SCH: (SFN=292 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) "
26.669087,MAC-LTE,206,"UL-SCH: (SFN=942 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
26.718888,MAC-LTE,450,"UL-SCH: (SFN=963 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
26.778074,MAC-LTE,100,"UL-SCH: (SFN=392 , SF=6) UEId=0   (Long BSR) (Power Headroom Report) (3:64 bytes) (Padding:remainder) "
27.863143,MAC-LTE,503,"UL-SCH: (SFN=537 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:82 bytes) (Padding:remainder) "
28.221676,MAC-LTE,100,"UL-SCH: (SFN=986 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
28.698652,MAC-LTE,450,"UL-SCH: (SFN=232 , SF=2) UEId=0   (Short BSR) (3:remainder) (Padding:remainder) "
29.255381,MAC-LTE,400,"UL-SCH: (SFN=482 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
29.259128,MAC-LTE,203,"UL-SCH: (SFN=414 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
29.350845,MAC-LTE,215,"UL-SCH: (SFN=909 , SF=2) UEId=0   (Long BSR) (Power Headroom Report) (3:82 bytes) (Padding:remainder) "
29.444917,MAC-LTE,506,"UL-SCH: (SFN=812 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
29.561995,MAC-LTE,206,"UL-SCH: (SFN=410 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (3:211 bytes) (Padding:remainder) "
30.249714,MAC-LTE,450,"UL-SCH: (SFN=580 , SF=1) UEId=0   (Long BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
30.391284,MAC-LTE,100,"UL-SCH: (SFN=876 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
30.398585,MAC-LTE,506,"UL-SCH: (SFN=209 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
30.424504,MAC-LTE,400,"UL-SCH: (SFN=254 , SF=2) UEId=0   (Long BSR) (Power Headroom Report) (3:165 bytes) (Padding:remainder) "
30.434323,MAC-LTE,400,"UL-SCH: (SFN=78  , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
30.884794,MAC-LTE,503,"UL-SCH: (SFN=292 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:72 bytes) (Padding:remainder) "
31.303302,MAC-LTE,503,"UL-SCH: (SFN=644 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
31.358347,MAC-LTE,100,"UL-SCH: (SFN=377 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:77 bytes) (Padding:remainder) "
32.092667,MAC-LTE,400,"UL-SCH: (SFN=643 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
32.227194,MAC-LTE,215,"UL-SCH: (SFN=983 , SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
32.246614,MAC-LTE,215,"UL-SCH: (SFN=964 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:64 bytes) "
32.274303,MAC-LTE,215,"UL-SCH: (SFN=439 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:69 bytes) (Padding:remainder) "
32.471375,LTE RRC UL_CCCH,506,RRCConnectionReestablishmentRequest
32.799748,MAC-LTE,200,"UL-SCH: (SFN=135 , SF=7) UEId=0   (Long BSR) (Power Headroom Report) (3:206 bytes) (Padding:remainder) "
32.866968,MAC-LTE,500,"UL-SCH: (SFN=878 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
32.934478,MAC-LTE,100,"UL-SCH: (SFN=440 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:140 bytes) (Padding:remainder) "
33.642697,MAC-LTE,203,"UL-SCH: (SFN=9   , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:72 bytes) (Padding:remainder) "
33.803777,MAC-LTE,503,"UL-SCH: (SFN=1007, SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:211 bytes) (Padding:remainder) "
33.812495,MAC-LTE,450,"UL-SCH: (SFN=669 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
33.906567,MAC-LTE,400,"UL-SCH: (SFN=133 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
34.692095,MAC-LTE,100,"UL-SCH: (SFN=152 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
34.790262,PDCP-LTE,503, [UL] [AM] SRB:1  [CONTROL]  ACK_SN=1      ||    [UL] [AM] SRB:1  [DATA] (P) sn=1   
35.020322,MAC-LTE,506,"UL-SCH: (SFN=647 , SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:64 bytes) (Padding:remainder) "
35.196421,MAC-LTE,203,"UL-SCH: (SFN=399 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
35.390504,MAC-LTE,503,"UL-SCH: (SFN=584 , SF=1) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
35.96575,MAC-LTE,400,"UL-SCH: (SFN=436 , SF=1) UEId=0   (Long BSR) (3:143 bytes) "
36.752985,MAC-LTE,500,"UL-SCH: (SFN=412 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:206 bytes) (Padding:remainder) "
36.803133,MAC-LTE,400,"UL-SCH: (SFN=70  , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
37.147877,MAC-LTE,203,"UL-SCH: (SFN=461 , SF=2) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
38.474765,MAC-LTE,203,"UL-SCH: (SFN=215 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
38.596932,MAC-LTE,400,"UL-SCH: (SFN=199 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
39.164863,MAC-LTE,215,"UL-SCH: (SFN=619 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:140 bytes) "
39.374754,MAC-LTE,400,"UL-SCH: (SFN=555 , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:206 bytes) (Padding:remainder) "
39.825762,MAC-LTE,215,"UL-SCH: (SFN=266 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:128 bytes) (Padding:remainder) "
40.472928,MAC-LTE,206,"UL-SCH: (SFN=403 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
40.827229,MAC-LTE,500,"UL-SCH: (SFN=274 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:69 bytes) "
40.920351,MAC-LTE,100,"UL-SCH: (SFN=317 , SF=0) UEId=0   (Short BSR) (Power Headroom Report) (3:143 bytes) "
41.027576,MAC-LTE,215,"UL-SCH: (SFN=571 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:82 bytes) (Padding:remainder) "
41.091707,MAC-LTE,100,"UL-SCH: (SFN=874 , SF=2) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
41.293998,MAC-LTE,450,"UL-SCH: (SFN=680 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
41.529607,MAC-LTE,203,"UL-SCH: (SFN=419 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
41.660928,MAC-LTE,100,"UL-SCH: (SFN=665 , SF=7) UEId=0   (Long BSR) (Power Headroom Report) (3:143 bytes) (Padding:remainder) "
41.947447,MAC-LTE,450,"UL-SCH: (SFN=610 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
42.282003,MAC-LTE,503,"UL-SCH: (SFN=421 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
42.283193,MAC-LTE,100,"UL-SCH: (SFN=969 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:128 bytes) (Padding:remainder) "
42.362507,MAC-LTE,206,"UL-SCH: (SFN=579 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
42.370425,MAC-LTE,506,"UL-SCH: (SFN=1011, SF=0) UEId=0   (Long BSR) (3:remainder) (Padding:remainder) "
42.668204,MAC-LTE,500,"UL-SCH: (SFN=53  , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
42.755457,MAC-LTE,100,"UL-SCH: (SFN=721 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
42.811668,MAC-LTE,206,"UL-SCH: (SFN=1015, SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:206 bytes) (Padding:remainder) "
42.972094,MAC-LTE,200,"UL-SCH: (SFN=313 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:211 bytes) (Padding:remainder) "
43.13042,MAC-LTE,450,"UL-SCH: (SFN=773 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
43.420735,MAC-LTE,100,"UL-SCH: (SFN=249 , SF=5) UEId=0   (Short BSR) (Padding:remainder) "
43.511054,MAC-LTE,215,"UL-SCH: (SFN=793 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (3:80 bytes) (Padding:remainder) "
44.083222,MAC-LTE,209,"UL-SCH: (SFN=184 , SF=9) UEId=0   (Short BSR) (3:remainder) (Padding:remainder) "
44.102851,MAC-LTE,100,"UL-SCH: (SFN=934 , SF=5) UEId=0   (Short BSR) (3:72 bytes) (Padding:remainder) "
44.198457,MAC-LTE,212,"UL-SCH: (SFN=895 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:165 bytes) (Padding:remainder) "
44.628128,MAC-LTE,212,"UL-SCH: (SFN=467 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
44.652135,MAC-LTE,503,"UL-SCH: (SFN=698 , SF=0) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
44.6828,MAC-LTE,215,"UL-SCH: (SFN=697 , SF=7) UEId=0   (Short BSR) (Power Headroom Report) (3:143 bytes) (Padding:remainder) "
44.75911,MAC-LTE,506,"UL-SCH: (SFN=936 , SF=9) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
44.780015,MAC-LTE,209,"UL-SCH: (SFN=316 , SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:211 bytes) (Padding:remainder) "
44.797371,MAC-LTE,209,"UL-SCH: (SFN=874 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
44.828243,MAC-LTE,503,"UL-SCH: (SFN=922 , SF=2) UEId=0   (Long BSR) (Power Headroom Report) (3:96 bytes) (Padding:remainder) "
44.959276,MAC-LTE,203,"UL-SCH: (SFN=982 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
45.353014,MAC-LTE,450,"UL-SCH: (SFN=720 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:87 bytes) (Padding:remainder) "
45.37259,MAC-LTE,203,"UL-SCH: (SFN=35  , SF=3) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
45.479838,MAC-LTE,450,"UL-SCH: (SFN=15  , SF=6) UEId=0   (Long BSR) (Power Headroom Report) (3:128 bytes) (Padding:remainder) "
45.563762,MAC-LTE,203,"UL-SCH: (SFN=926 , SF=0) UEId=0   (Short BSR) (Power Headroom Report) (3:64 bytes) (Padding:remainder) "
46.7971,MAC-LTE,506,"UL-SCH: (SFN=305 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
47.174903,MAC-LTE,203,"UL-SCH: (SFN=7   , SF=8) UEId=0   (Long BSR) (Power Headroom Report) (3:74 bytes) (Padding:remainder) "
47.379988,MAC-LTE,203,"UL-SCH: (SFN=181 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:71 bytes) (Padding:remainder) "
47.704981,MAC-LTE,506,"UL-SCH: (SFN=418 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:140 bytes) (Padding:remainder) "
47.804591,RLC-LTE,212, [UL] [AM] SRB:1  [CONTROL]  ACK_SN=1   
48.042284,LTE RRC UL_CCCH,400,RRCConnectionReestablishmentRequest
48.204396,MAC-LTE,209,"UL-SCH: (SFN=118 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) "
48.616225,MAC-LTE,215,"UL-SCH: (SFN=224 , SF=7) UEId=0   (Long BSR) (3:remainder) (Padding:remainder) "
48.696792,MAC-LTE,506,"UL-SCH: (SFN=140 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
48.901808,MAC-LTE,209,"UL-SCH: (SFN=387 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (Padding:remainder) "
49.243027,MAC-LTE,400,"UL-SCH: (SFN=890 , SF=1) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
49.356812,MAC-LTE,506,"UL-SCH: (SFN=227 , SF=1) UEId=0   (Short BSR) (Power Headroom Report) (3:140 bytes) (Padding:remainder) "
49.635582,MAC-LTE,212,"UL-SCH: (SFN=296 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
49.644039,MAC-LTE,506,"UL-SCH: (SFN=268 , SF=8) UEId=0   (Short BSR) (3:77 bytes) (Padding:remainder) "
49.694384,MAC-LTE,500,"UL-SCH: (SFN=801 , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:69 bytes) (Padding:remainder) "
49.705467,MAC-LTE,500,"UL-SCH: (SFN=1   , SF=3) UEId=0   (Short BSR) (Power Headroom Report) (3:206 bytes) "
49.921706,MAC-LTE,450,"UL-SCH: (SFN=430 , SF=6) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
50.626581,MAC-LTE,209,"UL-SCH: (SFN=714 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:66 bytes) (Padding:remainder) "
50.924262,MAC-LTE,209,"UL-SCH: (SFN=575 , SF=4) UEId=0   (Short BSR) (Power Headroom Report) (3:143 bytes) "
51.050052,MAC-LTE,450,"UL-SCH: (SFN=521 , SF=4) UEId=0   (Long BSR) (Power Headroom Report) (3:128 bytes) (Padding:remainder) "
51.383033,MAC-LTE,212,"UL-SCH: (SFN=693 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
51.912103,MAC-LTE,506,"UL-SCH: (SFN=1007, SF=3) UEId=0   (Short BSR) (3:143 bytes) (Padding:remainder) "
52.14606,MAC-LTE,450,"UL-SCH: (SFN=483 , SF=5) UEId=0   (Long BSR) (Power Headroom Report) (3:211 bytes) "
52.179787,MAC-LTE,209,"UL-SCH: (SFN=535 , SF=9) UEId=0   (Short BSR) (Power Headroom Report) (3:remainder) (Padding:remainder) "
52.39881,MAC-LTE,100,"UL-SCH: (SFN=541 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (3:64 bytes) (Padding:remainder) "
52.440565,MAC-LTE,450,"UL-SCH: (SFN=216 , SF=8) UEId=0   (Short BSR) (Power Headroom Report) (3:206 bytes) (Padding:remainder) "
53.021717,MAC-LTE,500,"UL-SCH: (SFN=479 , SF=0) UEId=0   (Long BSR) (Power Headroom Report) "
53.314137,MAC-LTE,209,"UL-SCH: (SFN=175 , SF=6) UEId=0   (Long BSR) (Power Headroom Report) (3:remainder) "
54.920218,MAC-LTE,206,"UL-SCH: (SFN=642 , SF=5) UEId=0   (Long BSR) (3:remainder) (Padding:remainder) "
54.990745,MAC-LTE,206,"UL-SCH: (SFN=477 , SF=5) UEId=0   (Short BSR) (Power Headroom Report) (Padding:remainder) "
55.274972,MAC-LTE,503,"UL-SCH: (SFN=434 , SF=4) UEId=0   (Long BSR) (3:206 bytes) (Padding:remainder) "
55.30364,MAC-LTE,200,"UL-SCH: (SFN=769 , SF=6) UEId=0   (Long BSR) (3:140 bytes) (Padding:remainder) "
